Ref,Val,Package,PosX,PosY,Rot,Side
"C1","500pF","C_Disc_D5.0mm_W2.5mm_P2.50mm",162.750000,-124.500000,0.000000,top
"C2","22uF","CP_Radial_D5.0mm_P2.00mm",139.000000,-133.000000,-90.000000,top
"C3","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",165.500000,-88.000000,90.000000,top
"C4","500pF","C_Disc_D5.0mm_W2.5mm_P2.50mm",163.750000,-93.000000,0.000000,top
"C5","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",174.500000,-93.000000,180.000000,top
"C6","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",162.500000,-121.500000,0.000000,top
"C7","0.047uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",155.000000,-93.000000,-90.000000,top
"C8","500pF","C_Disc_D5.0mm_W2.5mm_P2.50mm",137.750000,-124.000000,0.000000,top
"C9","0.047uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",141.250000,-127.011600,180.000000,top
"C10","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",152.000000,-106.000000,-90.000000,top
"C11","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",126.750000,-82.750000,0.000000,top
"C12","0.1uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",146.000000,-87.500000,90.000000,top
"C13","0.0039uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",133.000000,-127.000000,180.000000,top
"C14","0.01uF","C_Rect_L7.0mm_W2.5mm_P5.00mm",139.250000,-82.750000,180.000000,top
"D1","1N5817","D_DO-35_SOD27_P7.62mm_Horizontal",140.500000,-95.310000,90.000000,top
"D2","LED","LED_D3.0mm",148.730000,-85.000000,0.000000,top
"D3","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",162.810000,-88.000000,180.000000,top
"D4","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",160.750000,-68.190000,-90.000000,top
"D5","1N914","D_DO-41_SOD81_P7.62mm_Horizontal",148.750000,-113.250000,90.000000,top
"D6","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",150.120000,-118.500000,180.000000,top
"F1","Polyfuse","Fuse_Bourns_MF-RHT100",171.600000,-129.950000,-90.000000,top
"H1","~","MountingHole_M2",174.250000,-83.250000,0.000000,top
"H2","~","MountingHole_M2",142.500000,-83.000000,0.000000,top
"H3","~","MountingHole_M2",175.250000,-125.500000,0.000000,top
"J1","9V DC","BarrelJack_Horizontal",136.500000,-91.232500,0.000000,top
"J2","IN","J_6.35mm_NMJ4HCD2_Custom",127.075000,-99.460000,0.000000,top
"J3","OUT","J_6.35mm_NMJ4HCD2_Custom",173.925000,-115.790000,180.000000,top
"J4","PINHD_1x3_Female","PinSocket_1x03_P2.54mm_Horizontal",133.500000,-130.670000,0.000000,top
"J5","PINHD_1x3_Male","PinSocket_1x03_P2.54mm_Horizontal",176.100000,-135.970000,180.000000,top
