"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.5K";;;
2;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N5817";;;
3;"R12,R18,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10K";;;
4;"R24,R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22K";;;
5;"D2";"LED_D3.0mm";1;"LED";;;
6;"J5";"PinSocket_1x03_P2.54mm_Horizontal";1;"PINHD_1x3_Male";;;
7;"R20,R15,R1,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100K";;;
8;"F1";"Fuse_Bourns_MF-RHT100";1;"Polyfuse";;;
9;"D6,D3,D4";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N914";;;
10;"R9,R17,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"390";;;
11;"H3,H2,H1";"MountingHole_M2";3;"~";;;
12;"R16,R10,R19,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470K";;;
13;"Q2,Q3,Q4,Q1";"TO-92_Inline";4;"BC547";;;
14;"C14";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.01uF";;;
15;"R4,R14,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"12K";;;
16;"C10,C5,C12,C11,C3,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";6;"0.1uF";;;
17;"C9,C7";"C_Rect_L7.0mm_W2.5mm_P5.00mm";2;"0.047uF";;;
18;"J1";"BarrelJack_Horizontal";1;"9V DC";;;
19;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
20;"C1,C8,C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";3;"500pF";;;
21;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"39K";;;
22;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2.7K";;;
23;"R23";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100kB (VOLUME)";;;
24;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"22uF";;;
25;"R5";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100kB (SUSTAIN)";;;
26;"J4";"PinSocket_1x03_P2.54mm_Horizontal";1;"PINHD_1x3_Female";;;
27;"J3";"J_6.35mm_NMJ4HCD2_Custom";1;"OUT";;;
28;"R26";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"100kB (TONE)";;;
29;"SW6";"SW_3PDT_Footswitch_9Pin_Custom";1;"SW_3PDT_Footswitch";;;
30;"C13";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.0039uF";;;
31;"D5";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N914";;;
32;"J2";"J_6.35mm_NMJ4HCD2_Custom";1;"IN";;;
33;"BT1";"SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm";1;"9V";;;
