Category,Designator(s),Qty,Value / Description,Footprint / Package,Primary Sourcing Store,Search Term / Mfr Part #,Est. Unit Cost ($),Est. Extended Cost ($),Sourcing Notes & Alternatives
Resistors,"R2, R9, R17",3,390 Ω 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-390R,0.05,0.15,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,R6,1,1 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-1K,0.05,0.05,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,R7,1,1.5 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-1K5,0.05,0.05,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,R21,1,2.7 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-2K7,0.05,0.05,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,"R12, R18, R22",3,10 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-10K,0.05,0.15,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,"R4, R11, R14",3,12 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-12K,0.05,0.15,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,"R24, R25",2,22 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-22K,0.05,0.10,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,R13,1,39 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-39K,0.05,0.05,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,"R1, R8, R15, R20",4,100 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-100K,0.05,0.20,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Resistors,"R3, R10, R16, R19",4,470 kΩ 1/4W 1% Metal Film,Axial DIN0207 (7.62mm pitch),SAYAL Electronics (Pickup) or Tayda,MFR-25FTE52-470K,0.05,0.20,Can substitute standard 5% Carbon Film. In stock at Sayal bins.
Capacitors - Ceramic,"C1, C4, C8",3,500 pF 50V Ceramic Disc,Radial Disc (2.5mm pitch),SAYAL Electronics (Pickup) or Tayda,500pF Ceramic Disc Capacitor,0.10,0.30,"Sayal may have 470pF or 560pF, which are perfectly acceptable substitutes."
Capacitors - Film,C13,1,0.0039 µF (3.9nF) 63V Polyester Film,Box/Polyester Film (5.0mm pitch),SAYAL Electronics (Pickup) or Tayda,3.9nF Box Capacitor,0.20,0.20,Green Poly/Mylar film caps or Box film caps work great. In stock at Sayal.
Capacitors - Film,C14,1,0.01 µF (10nF) 63V Polyester Film,Box/Polyester Film (5.0mm pitch),SAYAL Electronics (Pickup) or Tayda,10nF Box Capacitor,0.20,0.20,Green Poly/Mylar film caps or Box film caps work great. In stock at Sayal.
Capacitors - Film,"C7, C9",2,0.047 µF (47nF) 63V Polyester Film,Box/Polyester Film (5.0mm pitch),SAYAL Electronics (Pickup) or Tayda,47nF Box Capacitor,0.20,0.40,Green Poly/Mylar film caps or Box film caps work great. In stock at Sayal.
