Digi-Key Part Number,Quantity,Description
PTV09A-4025F-B104-ND,3,100k Linear Pot (Sustain/Volume/Tone)
NMJ4HCD2-ND,2,Neutrik 1/4in Mono Audio Jack (IN/OUT)
FS57003PLT2B2M2QE-ND,1,3PDT 9-Pin Stomp Switch
CP-102AH-ND,1,2.1mm DC Barrel Jack
2N5088BU-ND,4,2N5088 NPN Transistor TO-92
1N4148-TAPCT-ND,4,1N4148 Silicon Diode
1N5817GOS-ND,1,1N5817 Schottky Diode
754-1111-ND,1,3mm Red LED
13-MFR-25FTE52-390RCT-ND,3,390 ohm 1/4W 1%
13-MFR-25FTE52-1KCT-ND,1,1k ohm 1/4W 1%
13-MFR-25FTE52-1K5CT-ND,1,1.5k ohm 1/4W 1%
13-MFR-25FTE52-2K7CT-ND,1,2.7k ohm 1/4W 1%
13-MFR-25FTE52-10KCT-ND,3,10k ohm 1/4W 1%
13-MFR-25FTE52-12KCT-ND,3,12k ohm 1/4W 1%
13-MFR-25FTE52-22KCT-ND,2,22k ohm 1/4W 1%
13-MFR-25FTE52-39KCT-ND,1,39k ohm 1/4W 1%
13-MFR-25FTE52-100KCT-ND,4,100k ohm 1/4W 1%
13-MFR-25FTE52-470KCT-ND,4,470k ohm 1/4W 1%
562R10TST50-ND,3,500pF 1kV Ceramic Disc
495-2514-ND,1,3.9nF 63V Film Cap
399-5863-ND,1,10nF 63V Film Cap
399-8901-ND,2,47nF 63V Film Cap
399-5860-ND,6,100nF 63V Film Cap
493-1082-ND,1,22uF 25V Electrolytic
374-1079-ND,2,14mm Reed Switch
118-MF-RHT100-0-ND,1,100mA Polyfuse PTC
36-232-ND,1,9V Battery Snap
